,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,AAPL230901C00085000,2023-08-25 2:00PM EDT,85.0,91.9,92.45,94.35,91.9,-,6,0,323.83%
1,AAPL230901C00095000,2023-08-23 10:59AM EDT,95.0,86.05,82.7,84.95,0.0,-,2,1,229.30%
2,AAPL230901C00100000,2023-08-24 3:54PM EDT,100.0,76.68,78.05,79.75,0.0,-,10,62,222.07%
3,AAPL230901C00105000,2023-08-21 1:48PM EDT,105.0,70.3,72.45,75.0,0.0,-,1,0,180.08%
4,AAPL230901C00110000,2023-08-09 9:33AM EDT,110.0,70.3,68.05,70.0,0.0,-,-,0,200.78%
5,AAPL230901C00115000,2023-07-14 9:45AM EDT,115.0,76.0,63.0,63.45,0.0,-,-,1,0.00%
6,AAPL230901C00125000,2023-08-24 2:08PM EDT,125.0,52.83,52.7,54.25,0.0,-,2,11,167.48%
7,AAPL230901C00130000,2023-08-24 10:00AM EDT,130.0,50.23,48.1,49.4,0.0,-,4,5,116.80%
8,AAPL230901C00135000,2023-08-24 1:02PM EDT,135.0,43.03,42.95,44.8,0.0,-,1,80,115.82%
9,AAPL230901C00140000,2023-08-25 3:52PM EDT,140.0,39.05,38.35,39.3,0.6,+1.56%,12,73,99.32%
10,AAPL230901C00145000,2023-08-23 11:17AM EDT,145.0,36.4,33.55,34.05,0.0,-,3,69,85.16%
11,AAPL230901C00150000,2023-08-25 3:46PM EDT,150.0,29.24,28.5,29.05,2.76,+10.42%,13,89,71.58%
12,AAPL230901C00152500,2023-08-24 3:50PM EDT,152.5,23.8,26.05,26.55,0.0,-,2,33,67.38%
13,AAPL230901C00155000,2023-08-25 3:29PM EDT,155.0,24.28,23.55,24.05,2.63,+12.15%,12,311,61.62%
14,AAPL230901C00157500,2023-08-25 3:59PM EDT,157.5,21.29,21.1,21.6,0.69,+3.35%,23,103,58.30%
15,AAPL230901C00160000,2023-08-25 3:59PM EDT,160.0,18.7,18.5,19.1,2.1,+12.65%,313,341,50.00%
16,AAPL230901C00162500,2023-08-25 3:59PM EDT,162.5,16.25,16.1,16.6,2.05,+14.44%,22,161,54.69%
17,AAPL230901C00165000,2023-08-25 3:59PM EDT,165.0,13.75,13.6,14.1,1.98,+16.82%,342,580,47.90%
18,AAPL230901C00167500,2023-08-25 3:59PM EDT,167.5,11.27,11.1,11.55,1.92,+20.53%,932,441,39.84%
19,AAPL230901C00170000,2023-08-25 3:56PM EDT,170.0,9.2,8.7,9.2,2.17,+30.87%,1601,4242,36.08%
20,AAPL230901C00172500,2023-08-25 3:59PM EDT,172.5,6.55,6.4,6.75,1.58,+31.79%,596,937,29.44%
21,AAPL230901C00175000,2023-08-25 3:59PM EDT,175.0,4.32,4.35,4.55,1.11,+34.58%,4826,10383,25.54%
22,AAPL230901C00177500,2023-08-25 3:59PM EDT,177.5,2.55,2.56,2.66,0.7,+37.84%,19515,7121,22.58%
23,AAPL230901C00180000,2023-08-25 3:59PM EDT,180.0,1.26,1.23,1.31,0.35,+38.46%,36672,24849,21.00%
24,AAPL230901C00182500,2023-08-25 3:59PM EDT,182.5,0.49,0.45,0.5,0.08,+19.51%,18134,10105,19.73%
25,AAPL230901C00185000,2023-08-25 3:59PM EDT,185.0,0.16,0.15,0.16,-0.02,-11.11%,18765,13586,19.39%
26,AAPL230901C00187500,2023-08-25 3:59PM EDT,187.5,0.07,0.06,0.07,-0.02,-22.22%,2743,4042,21.00%
27,AAPL230901C00190000,2023-08-25 3:58PM EDT,190.0,0.04,0.03,0.04,-0.01,-20.00%,5237,15838,23.44%
28,AAPL230901C00192500,2023-08-25 3:56PM EDT,192.5,0.02,0.02,0.03,-0.01,-33.33%,2855,1288,26.56%
29,AAPL230901C00195000,2023-08-25 3:58PM EDT,195.0,0.02,0.01,0.02,0.0,-,880,9801,28.91%
30,AAPL230901C00197500,2023-08-25 3:41PM EDT,197.5,0.01,0.01,0.02,0.0,-,228,1243,32.42%
31,AAPL230901C00200000,2023-08-25 3:51PM EDT,200.0,0.01,0.01,0.02,0.0,-,853,4899,35.94%
32,AAPL230901C00202500,2023-08-25 11:38AM EDT,202.5,0.01,0.01,0.04,-0.01,-50.00%,3,170,42.97%
33,AAPL230901C00205000,2023-08-25 3:48PM EDT,205.0,0.01,0.01,0.02,0.0,-,1266,8765,42.58%
34,AAPL230901C00207500,2023-08-25 3:45PM EDT,207.5,0.01,0.0,0.02,0.0,-,837,1342,46.09%
35,AAPL230901C00210000,2023-08-25 3:59PM EDT,210.0,0.01,0.0,0.02,0.0,-,2390,4248,49.22%
36,AAPL230901C00215000,2023-08-25 3:44PM EDT,215.0,0.01,0.0,0.01,0.0,-,1969,2277,51.56%
37,AAPL230901C00220000,2023-08-25 11:08AM EDT,220.0,0.01,0.0,0.01,0.0,-,5,3652,53.13%
38,AAPL230901C00225000,2023-08-22 1:32PM EDT,225.0,0.01,0.0,0.01,0.0,-,5,1567,59.38%
39,AAPL230901C00230000,2023-08-25 11:29AM EDT,230.0,0.01,0.0,0.01,0.0,-,100,1111,64.06%
40,AAPL230901C00235000,2023-08-24 11:00AM EDT,235.0,0.01,0.0,0.01,0.0,-,2,853,68.75%
41,AAPL230901C00240000,2023-08-21 10:03AM EDT,240.0,0.01,0.0,0.01,0.0,-,3,64,75.00%
42,AAPL230901C00245000,2023-08-14 9:51AM EDT,245.0,0.01,0.0,0.01,0.0,-,49,389,78.13%
43,AAPL230901C00250000,2023-08-08 2:46PM EDT,250.0,0.02,0.0,0.01,0.0,-,1,176,84.38%
44,AAPL230901C00255000,2023-08-01 12:12PM EDT,255.0,0.03,0.0,0.01,0.0,-,5,107,87.50%
45,AAPL230901C00260000,2023-08-03 3:24PM EDT,260.0,0.03,0.0,0.01,0.0,-,10,49,90.63%
46,AAPL230901C00265000,2023-08-25 9:30AM EDT,265.0,0.01,0.0,0.01,0.0,-,2,102,96.88%
