,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,AAPL230901P00050000,2023-07-17 10:19AM EDT,50.0,0.01,0.0,0.01,0.0,-,-,400,300.00%
1,AAPL230901P00095000,2023-08-02 3:25PM EDT,95.0,0.01,0.0,0.01,0.0,-,-,10,156.25%
2,AAPL230901P00100000,2023-08-04 2:44PM EDT,100.0,0.01,0.0,0.01,0.0,-,56,57,143.75%
3,AAPL230901P00105000,2023-08-01 1:48PM EDT,105.0,0.01,0.0,0.01,0.0,-,-,1,131.25%
4,AAPL230901P00110000,2023-08-21 10:32AM EDT,110.0,0.01,0.0,0.01,0.0,-,40,248,118.75%
5,AAPL230901P00115000,2023-08-14 9:47AM EDT,115.0,0.01,0.0,0.01,0.0,-,7,13,109.38%
6,AAPL230901P00120000,2023-08-25 3:52PM EDT,120.0,0.01,0.0,0.01,0.0,-,11,621,100.00%
7,AAPL230901P00125000,2023-08-25 11:01AM EDT,125.0,0.01,0.0,0.01,0.0,-,15,801,90.63%
8,AAPL230901P00130000,2023-08-22 9:30AM EDT,130.0,0.01,0.0,0.01,0.0,-,2,438,81.25%
9,AAPL230901P00135000,2023-08-24 12:35PM EDT,135.0,0.01,0.0,0.01,0.0,-,504,736,71.88%
10,AAPL230901P00140000,2023-08-25 1:55PM EDT,140.0,0.01,0.0,0.01,-0.01,-50.00%,3520,310,62.50%
11,AAPL230901P00145000,2023-08-25 3:54PM EDT,145.0,0.01,0.0,0.01,-0.01,-50.00%,1781,1320,54.69%
12,AAPL230901P00150000,2023-08-25 3:57PM EDT,150.0,0.02,0.01,0.02,-0.01,-33.33%,423,2654,51.95%
13,AAPL230901P00152500,2023-08-25 3:59PM EDT,152.5,0.01,0.01,0.02,-0.02,-66.67%,1290,850,49.22%
14,AAPL230901P00155000,2023-08-25 3:43PM EDT,155.0,0.03,0.02,0.03,-0.01,-25.00%,29,4009,46.88%
15,AAPL230901P00157500,2023-08-25 2:56PM EDT,157.5,0.03,0.02,0.03,-0.02,-40.00%,356,894,42.19%
16,AAPL230901P00160000,2023-08-25 3:58PM EDT,160.0,0.04,0.03,0.04,-0.03,-42.86%,812,12848,38.87%
17,AAPL230901P00162500,2023-08-25 3:57PM EDT,162.5,0.05,0.04,0.05,-0.04,-44.44%,527,1478,35.16%
18,AAPL230901P00165000,2023-08-25 3:59PM EDT,165.0,0.06,0.05,0.06,-0.08,-57.14%,2284,5877,31.06%
19,AAPL230901P00167500,2023-08-25 3:59PM EDT,167.5,0.08,0.08,0.09,-0.17,-68.00%,2641,3568,27.93%
20,AAPL230901P00170000,2023-08-25 3:59PM EDT,170.0,0.13,0.13,0.14,-0.33,-71.74%,14303,17458,24.71%
21,AAPL230901P00172500,2023-08-25 3:59PM EDT,172.5,0.27,0.26,0.27,-0.63,-70.00%,14274,4995,22.27%
22,AAPL230901P00175000,2023-08-25 3:59PM EDT,175.0,0.59,0.58,0.61,-1.03,-63.58%,28844,12229,20.92%
23,AAPL230901P00177500,2023-08-25 3:59PM EDT,177.5,1.28,1.25,1.29,-1.46,-53.28%,22316,4882,19.65%
24,AAPL230901P00180000,2023-08-25 3:59PM EDT,180.0,2.49,2.12,2.5,-1.86,-42.76%,5029,7932,18.73%
25,AAPL230901P00182500,2023-08-25 3:59PM EDT,182.5,4.25,4.0,4.25,-1.98,-31.78%,719,4408,17.43%
26,AAPL230901P00185000,2023-08-25 3:59PM EDT,185.0,6.4,5.7,7.4,-2.24,-25.93%,2409,6269,35.01%
27,AAPL230901P00187500,2023-08-25 3:38PM EDT,187.5,8.55,8.0,10.2,-1.1,-11.40%,92,244,46.97%
28,AAPL230901P00190000,2023-08-25 3:55PM EDT,190.0,11.3,11.0,11.75,-2.48,-18.00%,597,209,36.13%
29,AAPL230901P00192500,2023-08-25 3:26PM EDT,192.5,13.5,12.8,14.35,-1.15,-7.85%,3,3,44.29%
30,AAPL230901P00195000,2023-08-25 3:11PM EDT,195.0,16.1,15.75,16.8,-2.9,-15.26%,2623,450,48.39%
31,AAPL230901P00197500,2023-08-24 3:02PM EDT,197.5,20.1,18.4,19.7,0.0,-,22,10,63.77%
32,AAPL230901P00200000,2023-08-25 12:21PM EDT,200.0,22.87,20.9,22.1,3.97,+21.01%,2,2,66.94%
33,AAPL230901P00202500,2023-08-24 11:08AM EDT,202.5,24.75,23.3,24.65,0.0,-,5,0,73.49%
34,AAPL230901P00205000,2023-08-23 9:41AM EDT,205.0,25.45,26.05,26.9,0.0,-,2,2,51.56%
35,AAPL230901P00210000,2023-08-15 3:26PM EDT,210.0,32.46,31.05,32.5,0.0,-,1,0,76.27%
36,AAPL230901P00215000,2023-08-15 3:26PM EDT,215.0,37.54,36.05,36.85,0.0,-,1,0,63.28%
37,AAPL230901P00220000,2023-08-23 3:47PM EDT,220.0,38.6,40.65,42.5,0.0,-,2,1,82.03%
38,AAPL230901P00240000,2023-08-02 12:28PM EDT,240.0,48.0,60.9,62.55,0.0,-,1,0,120.12%
39,AAPL230901P00245000,2023-08-25 9:33AM EDT,245.0,67.0,65.65,67.55,-1.75,-2.55%,1,1,117.97%
40,AAPL230901P00260000,2023-08-22 11:58AM EDT,260.0,83.25,80.9,82.25,0.0,-,-,0,133.79%
41,AAPL230901P00265000,2023-08-03 11:18AM EDT,265.0,72.73,85.35,87.15,0.0,-,-,0,174.61%
